,0
346,Kid Icarus
347,Kid Niki
348,KiKi KaiKai
349,Killer Instinct
350,Killzone
351,Kinect Sports
352,Kingdom Hearts
353,The King of Fighters
354,King's Quest
355,Kirby
356,Klonoa
357,Kotoba no Puzzle
358,Kunio-kun
359,Kururin
360,Kyle Hyde
361,Lands of Lore
362,The Last of Us
363,Left 4 Dead
364,Legacy of Kain
365,Legend of Legaia
366,The Legendary Starfy
367,The Legend of Heroes
368,The Legend of Kage
369,The Legend of Zelda
370,Lego
371,Leisure Suit Larry
372,Lemmings
373,Lethal Enforcers
374,Life Is Strange
375,Lineage
376,Lips
377,LittleBigPlanet
378,Lode Runner
379,The Lord of the Rings
380,Lost Kingdoms
381,Lost Planet
382,The Lost Vikings
383,Lotus
384,LovePlus
385,Lucky's Tale
386,Lufia
387,Luigi
388,Lumines
389,Lunar
390,Madden NFL
391,Mafia
392,Magical Drop
393,Mana
394,Maniac Mansion
395,Mappy
396,Mario
397,Dr. Mario
398,Mario Kart
399,Mario Party
400,Mario sports
401,Mario RPG
402,Mario vs. Donkey Kong
403,Super Mario
404,Marvel
405,Marvel vs. Capcom
406,Mass Effect
407,Math Blaster
408,Max Payne
409,MDK
410,MechWarrior
411,Medal of Honor
412,MediEvil
413,Mega Man
414,Megami Tensei
415,Mercenaries
416,Metal Gear
417,Metal Max
418,Metal Slug
419,Metro
420,Metroid
421,Microsoft Combat Flight Simulator
422,Microsoft Flight Simulator
423,Midnight Club
424,Midtown Madness
425,Might and Magic
426,Milon's Secret Castle
427,Minecraft
428,Mirror's Edge
429,MLB 2K
430,MLB: The Show
431,Momoko 120%
432,Momotaro Densetsu
433,Momotaro Dentetsu
434,Monaco GP
435,Monkey Island
436,Monster Hunter
437,Monster Rancher
438,Monster Truck Madness
439,Mortal Kombat
440,Mother
441,Motocross Madness
442,MotoGP
443,Moto Racer
444,MotorStorm
445,Mr. Do!
446,Mr. Driller
447,MX vs. ATV
448,Myst
449,Mystery Dungeon
450,Myth
451,N
452,Namco Anthology
453,Namco Museum
454,Nancy Drew
455,Naruto: Ultimate Ninja
456,NASCAR
457,NBA 2K
458,NBA Live
459,NBA Jam
460,Nectaris / Military Madness
461,Need for Speed
462,Nekopara
463,Neutopia
464,Neverwinter Nights
465,NFL 2K
466,NHL
467,NHL 2K
468,Ni no Kuni
469,Nights
470,Ninja Gaiden
471,Ninja JaJaMaru-kun
472,Nintendogs
473,Nobunaga's Ambition
474,No More Heroes
475,Numan Athletics
476,Oddworld
477,Ogre
478,Ōkami
479,One Piece
480,Onimusha
481,Operation Wolf
482,The Oregon Trail
483,Osu! Tatakae! Ouendan
484,Otomedius
485,Outlast
486,Out Run
487,Pac-Man
488,Panzer Dragoon
489,PaRappa the Rapper
490,Parasite Eve
491,Parkan
492,Parodius
493,Patapon
494,Payday
495,Peggle
496,Pengo
497,Penumbra
498,Perfect Dark
499,Persona
500,Petz
501,PGA Tour
502,Phantasy Star
503,Pikmin
504,Pilotwings
505,Pinball FX
506,Pirate Ship Higemaru
507,Pitfall!
